Wish I Was Here (2014) ,6.7
The Woman in Black 2: Angel of Death (2014) ,4.9
Women Aren't Funny (2014) ,5.5
Wyrmwood: Road of the Dead (2014) ,6.3
You're Not You (2014) ,7.4
Efes beyahasei enosh (2014) ,7.4
Zombeavers (2014) ,4.8
+1 (2013) ,5.5
12 Years a Slave (2013) ,8.1
Twenty Feet from Stardom (2013) ,7.4
300 Worte Deutsch (2013) ,5.7
3096 Tage (2013) ,6.4
52 Tuesdays (2013) ,6.2
A Case of You (2013) ,5.7
A Haunting at Silver Falls (2013) ,4.8
A Picture of You (2013) ,6.3
A Talking Cat!?! (2013) ,2.5
A Teacher (2013) ,4.8
About Time (2013) ,7.8
Admission (2013) ,5.7
Adult World (2013) ,6.2
Afternoon Delight (2013) ,5.8
Alan Partridge: Alpha Papa (2013) ,6.9
All Cheerleaders Die (2013) ,5.1
American Hustle (2013) ,7.3
Amiche da morire (2013) ,6.3
An Easter Bunny Puppy (2013) ,2.4
Anchorman 2: The Legend Continues (2013) ,6.3
And Now a Word from Our Sponsor (2013) ,4.8
Angélique (2013) ,6.1
Another Me (2013) ,4.7
Are You Here (2013) ,5.3
Ashley (2013) ,5.6
Ass Backwards (2013) ,4.2
At Middleton (2013) ,6.5
August: Osage County (2013) ,7.2
Austenland (2013) ,6.3
Baggage Claim (2013) ,5.1
Barbie & Her Sisters in a Pony Tale (2013) ,6.4
Bayonetta: Bloody Fate (2013) ,5.7
Beautiful Creatures (2013) ,6.2
Before Midnight (2013) ,7.9
Bends (2013) ,6.1
Best Friends Forever (2013) ,5.1
The Best Man Holiday (2013) ,6.7
The Best Man Holiday (2013) ,6.7
Best Night Ever (2013) ,4.0
The Big Wedding (2013) ,5.6
Birdemic 2: The Resurrection (2013) ,1.7
Blackfish (2013) ,8.1
The Bling Ring (2013) ,5.6
Blue Is the Warmest Color (2013) ,7.8
Blue Jasmine (2013) ,7.3
Blue Ruin (2013) ,7.1
The Book Thief (2013) ,7.6
Bounty Killer (2013) ,5.5
The Call (2013) ,6.7
Camille Claudel 1915 (2013) ,6.5
Captain Battle: Legacy War (2013) ,1.3
Carrie (2013) ,5.9
Casse-tête chinois (2013) ,7.0
Christmas in the City (2013) ,6.0
Cloudy with a Chance of Meatballs 2 (2013) ,6.4
Coherence (2013) ,7.2
Concussion (2013) ,5.7
The Congress (2013) ,6.5
The Conjuring (2013) ,7.5
Contracted (2013) ,5.3
The Counselor (2013) ,5.3
The Croods (2013) ,7.2
The Crown and the Dragon (2013) ,3.8
Crystal Fairy & the Magical Cactus and 2012 (2013) ,5.8
Curse of Chucky (2013) ,5.6
Dallas Buyers Club (2013) ,8.0
Dark Touch (2013) ,4.8
The Day of the Doctor             ,9.4
Dead Man Down (2013) ,6.5
Decoding Annie Parker (2013) ,6.3
The Den (2013) ,6.1
Despicable Me 2 (2013) ,7.4
Devil's Pass (2013) ,5.7
The Devil's Violinist (2013) ,6.1
The Dirties (2013) ,6.8
Don Jon (2013) ,6.6
Down River (2013) ,7.0
Dragon Ball Z: Doragon bôru Z - Kami to Kami (2013) ,7.3
Drinking Buddies (2013) ,6.1
The East (2013) ,6.8
Elle s'en va (2013) ,6.4
Elysium (2013) ,6.6
Enough Said (2013) ,7.1
Epic (2013) ,6.7
